,Title,Rating,Runtime,Critic.Score,Genre
1,Aloha,PG-13,105,20,Comedy
2,Americons,R,88,14,Action
3,Avengers: Age of Ultron,PG-13,141,74,Action
4,Beyond the Mask,PG,103,22,Drama
5,Blackhat,R,133,34,Drama
6,Chappie,R,120,31,Thriller
7,Child 44,R,137,24,Thriller
8,Cinderella,PG,105,85,Drama
9,Danny Collins,R,106,78,Comedy
10,David and Goliath,PG,92,0,Drama
11,Do You Believe?,PG-13,120,18,Drama
12,Dope,R,103,89,Crime
13,Far from the Madding Crowd,PG-13,119,85,Drama
14,Focus,R,105,56,Crime
15,Freetown,PG-13,113,38,Thriller
16,Get Hard,R,100,29,Comedy
17,Hayride 2,R,92,0,Thriller
18,Home,PG,94,46,Comedy
19,Hot Pursuit,PG-13,87,7,Crime
20,Hot Tub Time Machine 2,R,93,14,Sci-Fi
21,Insidious: Chapter 3,PG-13,97,58,Horror
22,Insurgent,PG-13,119,30,Thriller
23,Jupiter Ascending,PG-13,127,25,Sci-Fi
24,Jurassic World,PG-13,124,71,Action
25,L.A. Slasher,R,86,0,Crime
26,Little Boy,PG-13,106,18,Drama
27,Mad Max: Fury Road,R,120,98,Adventure
28,Maggie,PG-13,95,51,Horror
29,Magic Mike XXL,R,115,64,Drama
30,"McFarland, USA",PG,129,79,Sport
31,Me and Earl and the Dying Girl,PG-13,105,82,Comedy
32,Monkey Kingdom,G,81,94,Documentary
33,Paul Blart: Mall Cop 2,PG,94,6,Action
34,Pitch Perfect 2,PG-13,115,66,Comedy
35,Poltergeist,PG-13,93,31,Thriller
36,Strange Magic,PG,99,18,Animation
37,Ted 2,R,115,46,Comedy
38,The Age of Adaline,PG-13,112,54,Drama
39,The D Train,R,101,43,Comedy
40,The DUFF,PG-13,101,72,Comedy
41,The Hunting Ground,PG-13,90,92,Documentary
42,The Overnight,R,79,81,Comedy
43,The Second Best Exotic Marigold Hotel,PG,122,62,Comedy
44,Tomorrowland,PG,130,50,Action
45,True Story,R,99,48,Mystery
46,Unfinished Business,R,91,11,Comedy
47,Woman in Gold,PG-13,109,53,Drama
